Order_ID,Customer_ID,Customer_Name,City,Zone,Store_ID,Store_Name,Product_Category,Product_Name,Quantity,Unit_Price,Total_Price,Discount,Final_Price,Order_Timestamp,Delivery_Duration_Minutes,Delivery_Timestamp,Delivery_Status,Payment_Mode,Customer_Feedback
500001,48939,Customer_1,Delhi,Central,144,Store_0,Vegetables,Soda,9,180.57,1625.13,37.19,1587.94,04-03-2023 21:23,50,04-03-2023 22:13,Delayed,Cash,No Feedback
500002,54371,Customer_2,Delhi,South,123,Store_1,Fruits,Milk,3,185.04,555.12,7.93,547.19,12-01-2023 7:33,44,12-01-2023 8:17,Delivered,Credit Card,Happy
500003,98892,Customer_3,Kolkata,East,192,Store_2,Bakery,Cheese,1,95.17,95.17,48.44,46.73,06-08-2023 12:57,58,06-08-2023 13:55,Delayed,Wallet,Unhappy
500004,50036,Customer_4,Kolkata,Central,124,Store_3,Bakery,Cheese,1,136.33,136.33,44.44,91.89,25-03-2023 11:08,16,25-03-2023 11:24,Delayed,Cash,Neutral
500005,32986,Customer_5,Delhi,East,124,Store_4,Vegetables,Apple,4,44.04,176.16,20.07,156.09,21-01-2023 21:56,12,21-01-2023 22:08,Delivered,Cash,Unhappy
500006,45697,Customer_6,Kolkata,Central,119,Store_5,Dairy,Butter,9,131.09,1179.81,22.68,1157.13,01-06-2023 20:20,43,01-06-2023 21:03,Cancelled,UPI,Neutral
500007,55526,Customer_7,Mumbai,Central,198,Store_6,Snacks,Milk,3,15.78,47.34,31.34,16,11-04-2023 9:18,40,11-04-2023 9:58,Delivered,Cash,Unhappy
500008,38771,Customer_8,Chennai,North,109,Store_7,Vegetables,Cheese,4,135.23,540.92,8.22,532.7,30-07-2023 2:22,27,30-07-2023 2:49,Cancelled,Credit Card,Unhappy
500009,21881,Customer_9,Kolkata,East,197,Store_8,Fruits,Butter,4,74.11,296.44,14.09,282.35,01-03-2023 8:05,51,01-03-2023 8:56,Delivered,Wallet,Neutral
500010,57475,Customer_10,Chennai,East,140,Store_9,Fruits,Milk,3,121.88,365.64,47.68,317.96,20-11-2023 14:24,55,20-11-2023 15:19,Cancelled,Credit Card,No Feedback
500011,86360,Customer_11,Chennai,West,131,Store_10,Bakery,Cheese,8,27.54,220.32,9.05,211.27,31-03-2023 10:09,18,31-03-2023 10:27,Delivered,Cash,Unhappy
500012,26181,Customer_12,Kolkata,Central,179,Store_11,Vegetables,Apple,6,97.28,583.68,27.05,556.63,17-01-2023 8:36,30,17-01-2023 9:06,Delivered,UPI,Unhappy
500013,11566,Customer_13,Delhi,West,153,Store_12,Bakery,Cheese,5,133.83,669.15,5.02,664.13,31-12-2023 5:56,12,31-12-2023 6:08,Cancelled,UPI,No Feedback
500014,25048,Customer_14,Delhi,Central,187,Store_13,Dairy,Cheese,1,32.99,32.99,0.66,32.33,10-11-2023 13:58,46,10-11-2023 14:44,Delivered,Wallet,Unhappy
500015,83869,Customer_15,Mumbai,Central,165,Store_14,Dairy,Chips,7,73.14,511.98,44.4,467.58,28-03-2023 4:17,33,28-03-2023 4:50,Cancelled,Credit Card,Happy
500016,43741,Customer_16,Mumbai,West,173,Store_15,Fruits,Butter,7,15.38,107.66,19.02,88.64,21-08-2023 6:08,23,21-08-2023 6:31,Delivered,Cash,Happy
500017,74179,Customer_17,Bangalore,North,136,Store_16,Fruits,Banana,9,25.36,228.24,28.75,199.49,22-05-2023 16:17,20,22-05-2023 16:37,Delayed,Wallet,Unhappy
500018,55940,Customer_18,Chennai,South,101,Store_17,Bakery,Soda,8,48.12,384.96,41.73,343.23,05-12-2023 17:13,52,05-12-2023 18:05,Delayed,Wallet,Unhappy
500019,42037,Customer_19,Kolkata,West,196,Store_18,Vegetables,Cheese,7,184.76,1293.32,8.88,1284.44,23-05-2023 18:00,35,23-05-2023 18:35,Cancelled,UPI,Happy
500020,44349,Customer_20,Chennai,South,161,Store_19,Beverages,Apple,2,191.16,382.32,40.83,341.49,20-08-2023 18:44,29,20-08-2023 19:13,Cancelled,UPI,No Feedback
500021,90127,Customer_21,Chennai,East,191,Store_20,Fruits,Apple,1,55.48,55.48,4.77,50.71,08-11-2023 7:42,38,08-11-2023 8:20,Delivered,UPI,No Feedback
500022,93923,Customer_22,Kolkata,West,112,Store_21,Bakery,Milk,1,144.04,144.04,36.25,107.79,10-01-2023 8:01,34,10-01-2023 8:35,Delivered,Wallet,No Feedback
500023,69337,Customer_23,Kolkata,North,193,Store_22,Vegetables,Banana,5,149.06,745.3,1.94,743.36,04-02-2023 6:24,55,04-02-2023 7:19,Delivered,Cash,Unhappy
500024,25937,Customer_24,Kolkata,Central,161,Store_23,Snacks,Cheese,3,129.37,388.11,44.07,344.04,11-12-2023 19:01,24,11-12-2023 19:25,Cancelled,Wallet,Happy
500025,61355,Customer_25,Delhi,Central,124,Store_24,Bakery,Soda,4,123.55,494.2,4.54,489.66,22-02-2023 17:28,23,22-02-2023 17:51,Delivered,Cash,Unhappy
500026,61815,Customer_26,Mumbai,North,179,Store_25,Bakery,Cheese,7,103.14,721.98,26.52,695.46,04-06-2023 9:41,35,04-06-2023 10:16,Delivered,Credit Card,Unhappy
500027,34700,Customer_27,Chennai,West,108,Store_26,Beverages,Soda,6,47.71,286.26,27.89,258.37,18-02-2023 6:10,11,18-02-2023 6:21,Cancelled,Credit Card,No Feedback
500028,91343,Customer_28,Chennai,West,152,Store_27,Bakery,Apple,8,36.34,290.72,44.54,246.18,06-07-2023 21:56,34,06-07-2023 22:30,Delivered,Credit Card,Unhappy
500029,30349,Customer_29,Bangalore,North,197,Store_28,Dairy,Bread,1,80.13,80.13,28.97,51.16,16-01-2023 13:52,16,16-01-2023 14:08,Cancelled,Wallet,Unhappy
500030,12907,Customer_30,Bangalore,West,195,Store_29,Vegetables,Apple,9,54.23,488.07,9.82,478.25,30-05-2023 15:18,56,30-05-2023 16:14,Delayed,Credit Card,Neutral
500031,54771,Customer_31,Bangalore,West,149,Store_30,Bakery,Chips,7,162.55,1137.85,29.62,1108.23,24-04-2023 5:06,57,24-04-2023 6:03,Delivered,UPI,Happy
500032,71074,Customer_32,Delhi,East,107,Store_31,Bakery,Soda,2,123.72,247.44,17.64,229.8,23-05-2023 20:38,14,23-05-2023 20:52,Delayed,Wallet,Happy
500033,83490,Customer_33,Bangalore,South,138,Store_32,Vegetables,Cheese,4,145.21,580.84,22.41,558.43,19-03-2023 14:32,40,19-03-2023 15:12,Cancelled,Cash,No Feedback
500034,87111,Customer_34,Bangalore,South,144,Store_33,Vegetables,Apple,2,104.35,208.7,10.06,198.64,13-08-2023 2:59,25,13-08-2023 3:24,Cancelled,Cash,Happy
500035,72019,Customer_35,Mumbai,West,143,Store_34,Fruits,Banana,9,31.62,284.58,35.04,249.54,06-07-2023 18:48,14,06-07-2023 19:02,Cancelled,Cash,Happy
500036,94602,Customer_36,Delhi,West,120,Store_35,Fruits,Bread,9,154.79,1393.11,9.44,1383.67,26-09-2023 14:30,34,26-09-2023 15:04,Cancelled,UPI,Happy
500037,79291,Customer_37,Delhi,West,143,Store_36,Beverages,Cheese,9,125.85,1132.65,15.97,1116.68,17-10-2023 13:00,22,17-10-2023 13:22,Delivered,UPI,Happy
500038,22453,Customer_38,Kolkata,West,136,Store_37,Vegetables,Cheese,5,126.19,630.95,49.55,581.4,26-02-2023 16:18,13,26-02-2023 16:31,Delayed,Cash,No Feedback
500039,40321,Customer_39,Kolkata,Central,171,Store_38,Snacks,Cheese,6,63.34,380.04,21.02,359.02,27-11-2023 3:44,47,27-11-2023 4:31,Delayed,Cash,Neutral
500040,17480,Customer_40,Bangalore,West,105,Store_39,Snacks,Soda,6,118.96,713.76,40.92,672.84,06-02-2023 8:13,36,06-02-2023 8:49,Delivered,UPI,Unhappy
500041,36756,Customer_41,Mumbai,East,121,Store_40,Dairy,Cheese,2,181.65,363.3,24.26,339.04,04-09-2023 11:43,33,04-09-2023 12:16,Delivered,Wallet,Unhappy
500042,76708,Customer_42,Delhi,West,169,Store_41,Vegetables,Chips,3,82.67,248.01,41.77,206.24,28-11-2023 23:57,53,29-11-2023 0:50,Delayed,Credit Card,Happy
500043,41884,Customer_43,Mumbai,South,112,Store_42,Snacks,Banana,9,120.81,1087.29,14.9,1072.39,19-01-2023 0:46,13,19-01-2023 0:59,Cancelled,Credit Card,Neutral
500044,90341,Customer_44,Bangalore,East,101,Store_43,Dairy,Banana,1,33.92,33.92,25.75,8.17,13-08-2023 20:35,54,13-08-2023 21:29,Delivered,Credit Card,Happy
500045,73439,Customer_45,Mumbai,Central,107,Store_44,Beverages,Milk,8,81.89,655.12,27.93,627.19,17-12-2023 8:37,34,17-12-2023 9:11,Delivered,UPI,Unhappy
